Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Fresh Fruit,Melons & Pineapples,Tesco Giant Watermelon,00000003250822	,285026827,77379119,6.49,6.49,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/285026827,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Apple Grape And Cheese 200G,05060054685429	,317296331,93886975,2.99,14.95,kg,Any 2 for €5 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/317296331,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Puro Gusto Pitahaya 1pc,05391541980261	,311267257,89616645,2.99,2.99,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/311267257,No,
Fresh Fruit,"Peaches, Nectarines, Plums & Apricots",Tesco Apricots 320G,00000003236802	,279233078,52193238,2.09,6.53,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/279233078,No,
Fresh Fruit,Apples & Pears,Tesco Golden Delicious Apple Each,00000003249147	,284182458,76921729,0.6,0.6,each,Any 5 for €2 Clubcard Price - Selected Tesco Fruits,09/04/2026,31/10/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284182458,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Puro Gusto Papaya,05391541980384	,311253991,89944763,2.49,2.49,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/311253991,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Khidri Dates 400g,06291107387772	,323155449,97406352,5.99,14.98,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/323155449,No,
Fresh Fruit,Apples & Pears,Tesco Gala Apple Each,00000003249154	,284182579,76921770,0.6,0.6,each,Any 5 for €2 Clubcard Price - Selected Tesco Fruits,09/04/2026,31/10/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284182579,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Fruit Trio 240g,05060054682787	,317043222,93278848,3.09,12.88,kg,Any 2 for €5 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/317043222,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Segai Organic Dates 400g,06291107388892	,323432513,97274679,5.99,14.98,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/323432513,No,
